Unnamed: 0,treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,DBHID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,date,status,agb,Hectare,Height,Volume,Biomassyt,Carbon Stockyt
134216,134216,134216.0,190704.0,,STEMMA,2001,400.0,33.7000007629395,671076.0,1.0,115.0,1.3,1.29999995231628,1987-03-17,alive,,1.0,9937.0,A,0.050745807192872,5,20.0,13.50295792421063,99777.47217320486,46895.41192140628
140846,140846,140846.0,200002.0,,ILEXMA,2000,401.5,0.600000023841858,704226.0,1.0,30.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0016497799405156,5,10.0,0.4594579255875072,3406.1661393494674,1600.8980854942495
140847,140847,140847.0,200003.0,,RHODCI,2000,401.700012207031,1.0,704231.0,1.0,84.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0365941332157829,5,20.0,7.204300273212114,53215.94130745882,25011.492414505647
140848,140848,140848.0,200004.0,,GLUTM2,2000,401.0,1.60000002384186,704236.0,1.0,40.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0035754058685285,5,10.0,0.8168140899333464,6046.687274171238,2841.9430188604815
140849,140849,140849.0,200005.0,,DRA1LL,2000,401.700012207031,2.29999995231628,704241.0,1.0,20.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0004530739081707,5,5.0,0.1021017612416683,761.0427456598527,357.69009046013076
140850,140850,140850.0,200006.0,,PORTAN,2000,400.399993896484,2.5,704246.0,1.0,161.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.12999925658644,5,20.0,26.465797531452832,195734.512140513,91995.2207060411
140851,140851,140851.0,200007.0,,GOM1SE,2000,401.200012207031,3.20000004768372,704251.0,1.0,116.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0693294843502697,5,20.0,13.738812992678882,101521.90536665828,47715.29552232939
140852,140852,140852.0,200008.0,,MILLAT,2000,400.5,4.40000009536743,704256.0,1.0,25.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.001135500469159,5,5.0,0.15953400194010672,1186.9237961848146,557.8541842068628
140853,140853,140853.0,200009.0,,PAYELU,2000,400.299987792969,4.69999980926514,704261.0,1.0,50.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0068144221736756,5,10.0,1.2762720155208538,9439.72207573502,4436.669375595459
140854,140854,140854.0,200011.0,,SHORM2,2000,404.899993896484,4.30000019073486,704266.0,1.0,50.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0061532239077141,5,10.0,1.2762720155208538,9439.72207573502,4436.669375595459
140855,140855,140855.0,200012.0,,KNEMPA,2000,403.5,2.70000004768372,704271.0,1.0,25.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0009927550298524,5,5.0,0.15953400194010672,1186.9237961848146,557.8541842068628
140858,140858,140858.0,200015.0,,MEMEMI,2000,403.200012207031,0.600000023841858,704286.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0004231626615985,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140859,140859,140859.0,200016.0,,REINCI,2000,404.399993896484,0.5,704291.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.000429830545705,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140860,140860,140860.0,200017.0,,SHORM2,2000,404.399993896484,0.300000011920929,704296.0,1.0,30.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0016707251066047,5,10.0,0.4594579255875072,3406.1661393494674,1600.8980854942495
140861,140861,140861.0,200018.0,,ARTORI,2000,402.600006103516,0.600000023841858,704301.0,1.0,45.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0042051165132386,5,10.0,1.0337803325718913,7649.113919626992,3595.0835422246864
140863,140863,140863.0,200020.0,,DIOSVE,2000,402.299987792969,5.19999980926514,704311.0,1.0,20.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0007553925511835,5,5.0,0.1021017612416683,761.0427456598527,357.69009046013076
140865,140865,140865.0,200022.0,,DRYPPO,2000,402.299987792969,5.80000019073486,704321.0,1.0,30.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0019599526926932,5,10.0,0.4594579255875072,3406.1661393494674,1600.8980854942495
140866,140866,140866.0,200023.0,,XERONO,2000,401.600006103516,5.90000009536743,704326.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0004243198976831,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140867,140867,140867.0,200024.0,,LASILO,2000,401.5,6.30000019073486,704331.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0003499884197107,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140870,140870,140870.0,200027.0,,DRYPLA,2000,401.5,6.80000019073486,704346.0,1.0,69.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0176631361024612,5,15.0,3.6457986395368702,26933.513296477573,12658.75124934446
140871,140871,140871.0,200028.0,,EUGEV2,2000,401.700012207031,7.09999990463257,704351.0,1.0,35.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0031231290449095,5,10.0,0.6253732876052183,4632.387236094588,2177.222000964456
140872,140872,140872.0,200029.0,,EUGEST,2000,401.0,7.09999990463257,704356.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0003990679041877,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140873,140873,140873.0,200030.0,,MITRMA,2000,401.0,7.30000019073486,704361.0,1.0,50.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0081880803984086,5,10.0,1.2762720155208538,9439.72207573502,4436.669375595459
140874,140874,140874.0,200031.0,,QUERAR,2000,401.200012207031,7.40000009536743,704366.0,1.0,25.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0013774923724224,5,5.0,0.15953400194010672,1186.9237961848146,557.8541842068628
140877,140877,140877.0,200034.0,,GIROSU,2000,400.799987792969,8.5,704381.0,1.0,81.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0176402196020324,5,20.0,6.698896555065857,49482.06935716986,23256.572597869832
140879,140879,140879.0,200036.0,,SHORP2,2000,401.299987792969,9.39999961853027,704391.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.000293442007164,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140880,140880,140880.0,200037.0,,PRUNAR,2000,402.200012207031,9.80000019073486,704396.0,1.0,15.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.0002512855497967,5,5.0,0.0574322406984384,429.24226550328257,201.7438647865428
140881,140881,140881.0,200038.0,,SINDCO,2000,402.200012207031,8.5,704401.0,1.0,25.0,1.3,1.29999995231628,1987-03-16,alive,,1.0,9936.0,A,0.001023811898422,5,5.0,0.15953400194010672,1186.9237961848146,557.8541842068628
