TreeID,Volume_m3,DBH,Height_m,Species,Hectare,gx,gy
34410,3.437511046603867,67.0,15,GIROPA,1,87.4000015258789,90.4000015258789
18131,30.20578504573514,172.0,20,SHORM2,1,48.2999992370605,84.9000015258789
18175,3.437511046603867,67.0,15,DIPLMA,1,53.2000007629395,89.0999984741211
18224,18.884741759258965,136.0,20,SHORM2,1,57.0,97.0999984741211
26482,3.1365661053440492,64.0,15,EPIPMA,1,48.5,90.0999984741211
9724,0.15953400194010672,25.0,5,DIALPL,1,31.0,97.4000015258789
26226,2.9435937765972966,62.0,15,GIROPA,1,64.5,83.6999969482422
34480,1.7173516240848603,58.0,10,MESUFE,1,93.4000015258789,85.8000030517578
1085,7.906760390554792,88.0,20,BARRMA,1,7.0,73.8000030517578
1549,0.2297289627937536,30.0,5,EPIPMA,1,16.2000007629395,97.4000015258789
17776,0.0,10.0,0,KOILLO,1,40.2999992370605,71.4000015258789
26482,3.1365661053440492,64.0,15,EPIPMA,1,76.0999984741211,90.0999984741211
26329,8.830781329791892,93.0,20,AIDIWA,1,69.5999984741211,89.3000030517578
9562,3.5408890798610564,68.0,15,SHORP2,1,21.2000007629395,96.4000015258789
17776,0.0,10.0,0,KOILLO,1,40.5,71.3000030517578
34564,0.0,10.0,0,ARCHGL,1,94.3000030517578,91.8000030517578
34586,17.25519764984194,130.0,20,SANTLA,1,90.9000015258789,90.4000015258789
9697,6.534512719466771,80.0,20,XERONO,1,31.5,92.9000015258789
9671,1.2762720155208538,50.0,10,ARCHBU,1,32.9000015258789,89.8000030517578
1235,0.0574322406984384,15.0,5,SINDVE,1,16.0,76.0999984741211
9671,1.2762720155208538,50.0,10,ARCHBU,1,32.9000015258789,89.8000030517578
9621,0.8168140899333464,40.0,10,EPIPMA,1,21.3999996185303,89.1999969482422
26418,1.6009556162693588,56.0,10,ARDIPA,1,73.6999969482422,92.5
9285,6.698896555065857,81.0,20,CALOMA,1,29.0,72.4000015258789
34594,8.087480507952543,89.0,20,ATUNEX,1,82.8000030517578,89.8000030517578
17774,3.5408890798610564,68.0,15,KNEMFU,1,40.5,71.3000030517578
9620,6.698896555065857,81.0,20,DACRIN,1,21.3999996185303,89.1999969482422
26484,3.7522397256313096,70.0,15,AGLACO,1,48.5,90.0999984741211
34473,1.544289138780233,55.0,10,IXONIC,1,89.5,88.5999984741211
34410,3.437511046603867,67.0,15,GIROPA,1,87.4000015258789,90.4000015258789
9673,0.0574322406984384,15.0,5,MACALO,1,32.7000007629395,89.5999984741211
26010,34.5675722859792,184.0,20,SHORM2,1,67.1999969482422,75.8000030517578
18169,13.97671009637197,117.0,20,ALPHMA,1,52.0999984741211,89.9000015258789
26381,6.534512719466771,80.0,20,ALPHMA,1,69.6999969482422,85.6999969482422
26171,0.0,10.0,0,SINDCO,1,79.3000030517578,74.1999969482422
26303,0.0,10.0,0,NEOSKI,1,69.1999969482422,93.8000030517578
9823,0.15953400194010672,25.0,5,FAHRPE,1,38.0999984741211,83.5
1341,1.6009556162693588,56.0,10,CALOTE,1,1.89999997615814,88.0999984741211
26506,0.0574322406984384,15.0,5,PIMEGR,1,77.8000030517578,86.3000030517578
26506,0.0574322406984384,15.0,5,PIMEGR,1,73.6999969482422,86.4000015258789
34030,6.698896555065857,81.0,20,MYRICI,1,81.9000015258789,73.4000015258789
26496,0.0574322406984384,15.0,5,EPIPMA,1,75.8000030517578,88.4000015258789
9673,0.0574322406984384,15.0,5,MACALO,1,17.8999996185303,89.5
34473,1.544289138780233,55.0,10,IXONIC,1,94.5,88.5999984741211
17456,2.9435937765972966,62.0,15,ONC1MO,1,43.4000015258789,58.7999992370605
34587,0.8168140899333464,40.0,10,PIMEGR,1,93.4000015258789,85.8000030517578
