TreeID,Volume_m3,DBH,Height_m,Species,Hectare,gx,gy
134958,3.8602123381443736,71.0,15,CANALL,4,380.200012207031,89.9000015258789
114949,3.437511046603867,67.0,15,XANTEU,4,329.399993896484,90.5
108000,0.6253732876052183,35.0,10,SINDVE,4,302.0,90.3000030517578
128330,0.0,10.0,0,BLUMSU,4,363.799987792969,89.5
128373,4.1933193341953166,74.0,15,LITHCU,4,374.0,81.0
128258,0.15953400194010672,25.0,5,PTYCCO,4,362.5,92.5
128244,18.0607805460387,133.0,20,PRUNGR,4,354.0,89.5
113825,12.579958002585949,111.0,20,BOUEOP,4,340.0,14.8000001907349
128390,13.738812992678882,116.0,20,ARTODA,4,367.799987792969,91.4000015258789
107948,1.2762720155208538,50.0,10,NEOSNI,4,300.299987792969,90.4000015258789
121760,8.6418930714948,92.0,20,IXONIC,4,354.0,89.5
114922,0.0,10.0,0,MACALO,4,329.5,97.3000030517578
128243,6.372170919092517,79.0,20,KNEMSC,4,363.299987792969,89.8000030517578
114933,4.307418052382881,75.0,15,MEL1FU,4,323.399993896484,91.5999984741211
107486,0.8168140899333464,40.0,10,EPIPMA,4,302.100006103516,55.7999992370605
134958,3.8602123381443736,71.0,15,CANALL,4,363.299987792969,89.8000030517578
108000,0.6253732876052183,35.0,10,SINDVE,4,300.299987792969,90.4000015258789
108000,0.6253732876052183,35.0,10,SINDVE,4,309.399993896484,90.3000030517578
121760,8.6418930714948,92.0,20,IXONIC,4,357.5,89.4000015258789
121631,0.0,10.0,0,NEOSKI,4,348.899993896484,86.5999984741211
115043,0.8168140899333464,40.0,10,MACALO,4,329.200012207031,93.1999969482422
128330,0.0,10.0,0,BLUMSU,4,354.0,89.5
114949,3.437511046603867,67.0,15,XANTEU,4,319.0,90.4000015258789
107948,1.2762720155208538,50.0,10,NEOSNI,4,300.299987792969,90.4000015258789
114648,0.0,10.0,0,SINDCO,4,329.799987792969,77.8000030517578
108015,0.0574322406984384,15.0,5,SINDCO,4,306.399993896484,88.3000030517578
128268,1.6009556162693588,56.0,10,BACCPA,4,364.100006103516,91.5
113483,0.0,10.0,0,ARCHBU,4,317.5,12.5
134867,0.6253732876052183,35.0,10,PARKSP,4,390.100006103516,75.9000015258789
115036,30.20578504573514,172.0,20,LITHWR,4,319.0,90.4000015258789
107949,8.45504684842255,91.0,20,SHORM1,4,302.0,90.3000030517578
128330,0.0,10.0,0,BLUMSU,4,357.5,89.4000015258789
115038,1.2762720155208538,50.0,10,PTYCCO,4,325.899993896484,90.9000015258789
115099,0.0,10.0,0,SINDCO,4,332.299987792969,91.0
115102,0.0,10.0,0,MACALO,4,332.299987792969,91.0
108122,12.130710253122608,109.0,20,HOMALO,4,319.600006103516,95.8000030517578
107519,1.0337803325718913,45.0,10,ARCHBU,4,305.600006103516,49.0
107587,1.7770811544112366,59.0,10,ONC1MO,4,314.399993896484,49.0
135102,0.0574322406984384,15.0,5,SINDCO,4,388.299987792969,86.5999984741211
121551,3.0393141777613604,63.0,15,AIDIWA,4,337.700012207031,93.0
107943,1.544289138780233,55.0,10,NEOSKI,4,301.299987792969,89.0
114420,1.6009556162693588,56.0,10,PAYELU,4,334.700012207031,42.5999984741211
121650,0.0,10.0,0,EPIPMA,4,351.100006103516,88.0
114959,1.6009556162693588,56.0,10,POL1RU,4,325.299987792969,89.6999969482422
107380,1.544289138780233,55.0,10,AIDIWA,4,313.200012207031,36.7999992370605
121607,0.0,10.0,0,SINDCO,4,349.200012207031,90.0999984741211
120628,3.1365661053440492,64.0,15,DACRR1,4,359.100006103516,17.0
121607,0.0,10.0,0,SINDCO,4,349.200012207031,90.0999984741211
