TreeID,Volume_m3,DBH,Height_m,Species,Hectare,gx,gy
63472,11.256719176893927,105.0,20,KNEMHO,2,125.199996948242,90.0
49666,3.235349559345364,65.0,15,MEMEAM,2,134.5,88.5999984741211
70619,0.0,10.0,0,ARCHBU,2,193.699996948242,89.0
49558,1.6009556162693588,56.0,10,MACALO,2,115.800003051758,89.6999969482422
49394,1.544289138780233,55.0,10,IXONIC,2,122.199996948242,89.1999969482422
42163,14.70265361880023,120.0,20,TABECO,2,101.400001525879,91.4000015258789
48283,0.0574322406984384,15.0,5,TRI3MA,2,132.800003051758,8.30000019073486
42420,7.376852249710533,85.0,20,DACRR1,2,119.400001525879,89.9000015258789
42420,7.376852249710533,85.0,20,DACRR1,2,119.400001525879,89.9000015258789
49662,3.7522397256313096,70.0,15,DACRR1,2,136.899993896484,90.0999984741211
49662,3.7522397256313096,70.0,15,DACRR1,2,125.199996948242,90.0
70633,3.235349559345364,65.0,15,EUGESB,2,190.5,90.5999984741211
63407,1.7173516240848603,58.0,10,DRYPPO,2,173.0,85.6999969482422
63486,0.0574322406984384,15.0,5,MACALO,2,178.699996948242,88.5
49517,0.15953400194010672,25.0,5,MACALO,2,129.199996948242,89.5999984741211
42413,4.307418052382881,75.0,15,DYSOC1,2,115.900001525879,88.0
56654,0.1021017612416683,20.0,5,ARCHBU,2,155.300003051758,86.0
70624,0.0,10.0,0,ALCHRU,2,192.899993896484,86.1999969482422
56511,0.2297289627937536,30.0,5,MACALO,2,136.899993896484,90.0999984741211
42421,11.909149431228187,108.0,20,ARTOIS,2,116.199996948242,88.0999984741211
49683,1.544289138780233,55.0,10,PIMEGR,2,139.600006103516,85.9000015258789
56463,1.0337803325718913,45.0,10,SINDCO,2,144.699996948242,93.5
56397,9.409698316032149,96.0,20,PSE1SI,2,140.600006103516,83.5999984741211
41885,3.1365661053440492,64.0,15,EURYLO,2,110.5,69.6999969482422
49373,0.2297289627937536,30.0,5,MACALO,2,122.900001525879,84.3000030517578
49517,0.15953400194010672,25.0,5,MACALO,2,123.300003051758,89.5
63264,6.865322425889775,82.0,20,AIDIWA,2,165.0,95.0
42298,0.0,10.0,0,MACALO,2,114.5,88.1999969482422
42169,3.235349559345364,65.0,15,SHOROV,2,101.5,93.9000015258789
70531,2.9435937765972966,62.0,15,QUERAR,2,186.699996948242,97.9000015258789
55860,0.0,10.0,0,MACALO,2,145.300003051758,56.0
70662,0.0,10.0,0,MACALO,2,194.699996948242,98.0999984741211
70477,4.307418052382881,75.0,15,LEPISE,2,178.699996948242,88.5
42148,7.728082308381872,87.0,20,MONOMA,2,101.199996948242,81.4000015258789
62925,3.5408890798610564,68.0,15,PRUNAR,2,160.199996948242,78.1999969482422
49521,0.0,10.0,0,MALLPE,2,129.100006103516,86.5
70477,4.307418052382881,75.0,15,LEPISE,2,178.600006103516,88.3000030517578
42416,3.437511046603867,67.0,15,EUGEFI,2,104.5,89.5999984741211
49682,1.6009556162693588,56.0,10,ANT1CO,2,139.600006103516,85.9000015258789
63486,0.0574322406984384,15.0,5,MACALO,2,178.399993896484,88.5999984741211
49517,0.15953400194010672,25.0,5,MACALO,2,115.800003051758,89.6999969482422
61945,3.235349559345364,65.0,15,DRYPKI,2,154.399993896484,35.0999984741211
56518,1.544289138780233,55.0,10,GIROPA,2,145.600006103516,93.0
70633,3.235349559345364,65.0,15,EUGESB,2,190.5,90.5999984741211
42005,0.0,10.0,0,MALLPE,2,115.400001525879,64.0
48338,3.7522397256313096,70.0,15,MEMEME,2,138.0,19.1000003814697
48140,1.544289138780233,55.0,10,ANAXJA,2,121.699996948242,4.40000009536743
56469,3.6457986395368702,69.0,15,ALANEB,2,139.5,96.5
49521,0.0,10.0,0,MALLPE,2,129.100006103516,86.5
63224,3.335664539765303,66.0,15,DRA1LL,2,159.800003051758,87.0
49077,0.15953400194010672,25.0,5,MALLPE,2,121.900001525879,68.5999984741211
56688,0.6253732876052183,35.0,10,ARCHBU,2,159.899993896484,86.8000030517578
42413,4.307418052382881,75.0,15,DYSOC1,2,115.900001525879,88.0
70023,6.211871153943098,78.0,20,CANALT,2,191.399993896484,53.9000015258789
63045,0.0,10.0,0,CYNOMA,2,162.899993896484,74.8000030517578
63005,0.1021017612416683,20.0,5,CYNOMA,2,164.699996948242,88.0
63404,3.235349559345364,65.0,15,EURYLO,2,119.400001525879,89.9000015258789
63466,0.15953400194010672,25.0,5,PTYCCO,2,178.300003051758,92.0
49517,0.15953400194010672,25.0,5,MACALO,2,104.5,89.5999984741211
42155,3.437511046603867,67.0,15,APORSY,2,104.5,89.5999984741211
49683,1.544289138780233,55.0,10,PIMEGR,2,139.199996948242,86.0
49397,9.606754715228568,97.0,20,ALANEB,2,107.400001525879,89.4000015258789
42298,0.0,10.0,0,MACALO,2,114.5,88.1999969482422
55704,0.0574322406984384,15.0,5,ARCHBU,2,152.600006103516,39.0
49558,1.6009556162693588,56.0,10,MACALO,2,104.5,89.5999984741211
62451,0.0,10.0,0,ALCHRU,2,173.0,38.2999992370605
