TreeID,Species_Count,DBH,Species,Hectare,gx,gy,Height_m
147931,1858,20.0,CANALR,5,423.0,17.2000007629395,31.32732273553991
155750,3941,35.0,SCA1SP,5,440.299987792969,42.5999984741211,36.92348061489413
163298,1369,200.0,HOPEDR,5,472.5,82.1999969482422,54.35317366548036
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
156418,3274,40.0,PIMEGR,5,448.399993896484,90.0,38.25879454113936
169792,3941,59.0,SCA1SP,5,492.600006103516,90.0,42.14537443905719
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
163247,3941,35.0,SCA1SP,5,468.399993896484,90.0,36.92348061489413
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
163247,3941,35.0,SCA1SP,5,468.399993896484,90.0,36.92348061489413
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
169792,3941,59.0,SCA1SP,5,492.600006103516,90.0,42.14537443905719
163247,3941,35.0,SCA1SP,5,468.399993896484,90.0,36.92348061489413
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
142404,3487,10.0,ALANEB,5,416.799987792969,90.0,24.395850929940462
142404,3487,10.0,ALANEB,5,416.799987792969,90.0,24.395850929940462
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
156418,3274,40.0,PIMEGR,5,448.399993896484,90.0,38.25879454113936
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
156390,1077,10.0,GARCMA,5,444.100006103516,90.0,24.395850929940462
169792,3941,59.0,SCA1SP,5,492.600006103516,90.0,42.14537443905719
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
169792,3941,59.0,SCA1SP,5,492.600006103516,90.0,42.14537443905719
156379,9229,15.0,ARDICR,5,441.700012207031,90.0,28.450502011022103
163247,3941,35.0,SCA1SP,5,468.399993896484,90.0,36.92348061489413
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
149329,9016,86.0,SHORM2,5,428.399993896484,90.0,45.913472962535074
142404,3487,10.0,ALANEB,5,416.799987792969,90.0,24.395850929940462
169792,3941,59.0,SCA1SP,5,492.600006103516,90.0,42.14537443905719
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
142273,8384,10.0,APORM1,5,406.899993896484,90.0,24.395850929940462
142210,1670,10.0,DIOSVE,5,402.600006103516,89.9000015258789,24.395850929940462
149258,9925,20.0,ANAXJA,5,422.200012207031,90.5,31.32732273553991
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
169720,341,10.0,STERPA,5,485.5,87.6999969482422,24.395850929940462
169703,9925,15.0,ANAXJA,5,486.0,90.6999969482422,28.450502011022103
142420,8384,20.0,APORM1,5,417.0,88.5,31.32732273553991
163348,2501,20.0,UROPGL,5,474.100006103516,90.0999984741211,31.32732273553991
156429,280,20.0,CALOMA,5,447.899993896484,89.8000030517578,31.32732273553991
163136,6438,45.0,DACRR1,5,466.899993896484,89.9000015258789,39.43662489770319
156367,1164,40.0,DIPLMA,5,440.799987792969,88.3000030517578,38.25879454113936
156369,3830,25.0,DIOSSC,5,441.200012207031,88.3000030517578,33.558758248682004
149278,3075,15.0,SHORAC,5,423.200012207031,90.5,28.450502011022103
149258,9925,20.0,ANAXJA,5,422.200012207031,90.5,31.32732273553991
142415,8384,30.0,APORM1,5,418.700012207031,90.1999969482422,35.38197381662155
163393,9925,20.0,ANAXJA,5,479.200012207031,88.0999984741211,31.32732273553991
149278,3075,15.0,SHORAC,5,423.200012207031,90.5,28.450502011022103
156394,2065,15.0,LITHCU,5,440.700012207031,96.4000015258789,28.450502011022103
149347,1077,15.0,GARCMA,5,429.0,89.8000030517578,28.450502011022103
149426,2065,10.0,LITHCU,5,434.0,90.0999984741211,24.395850929940462
142276,1417,35.0,SINDCO,5,406.5,93.3000030517578,36.92348061489413
156499,1256,10.0,PEN1MO,5,452.399993896484,90.0999984741211,24.395850929940462
156369,3830,25.0,DIOSSC,5,441.200012207031,88.3000030517578,33.558758248682004
169769,1256,116.0,PEN1MO,5,491.799987792969,88.1999969482422,48.905901911063644
142215,1149,20.0,KNEMSC,5,402.600006103516,86.3000030517578,31.32732273553991
169659,9925,20.0,ANAXJA,5,481.700012207031,89.8000030517578,31.32732273553991
142425,977,10.0,GNETGN,5,417.700012207031,87.4000015258789,24.395850929940462
156375,3081,25.0,DACRRO,5,443.399993896484,88.6999969482422,33.558758248682004
149314,9229,15.0,ARDICR,5,425.600006103516,90.3000030517578,28.450502011022103
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
163320,622,138.0,DRYPPO,5,470.5,89.3000030517578,50.642536851572046
156499,1256,10.0,PEN1MO,5,452.399993896484,90.0999984741211,24.395850929940462
149442,4579,30.0,GIROPA,5,437.600006103516,98.6999969482422,35.38197381662155
142211,2065,15.0,LITHCU,5,402.799987792969,89.6999969482422,28.450502011022103
163348,2501,20.0,UROPGL,5,474.100006103516,90.0999984741211,31.32732273553991
163239,4374,96.0,BARRMA,5,467.5,93.0,47.01348191467836
149277,1017,25.0,SCA2MA,5,424.399993896484,90.5,33.558758248682004
163252,9703,10.0,RINOAN,5,466.5,86.8000030517578,24.395850929940462
149397,8384,15.0,APORM1,5,433.799987792969,89.8000030517578,28.450502011022103
163156,4167,320.0,SHORP2,5,462.200012207031,88.8000030517578,59.05320995793772
163218,1510,15.0,PSE2MA,5,468.700012207031,99.9000015258789,28.450502011022103
149426,2065,10.0,LITHCU,5,434.0,90.0999984741211,24.395850929940462
142416,9703,15.0,RINOAN,5,417.399993896484,90.0999984741211,28.450502011022103
149277,1017,25.0,SCA2MA,5,424.399993896484,90.5,33.558758248682004
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
142300,3830,10.0,DIOSSC,5,405.299987792969,87.4000015258789,24.395850929940462
169657,3941,85.0,SCA1SP,5,480.200012207031,88.6999969482422,45.79651256490316
163375,3075,10.0,SHORAC,5,476.100006103516,91.1999969482422,24.395850929940462
149258,9925,20.0,ANAXJA,5,422.200012207031,90.5,31.32732273553991
149409,793,25.0,PRUNAR,5,433.799987792969,86.1999969482422,33.558758248682004
149410,466,15.0,TRI1HY,5,433.5,86.1999969482422,28.450502011022103
149315,977,15.0,GNETGN,5,426.200012207031,90.5,28.450502011022103
163245,1871,10.0,PAYELU,5,468.700012207031,90.5,24.395850929940462
163332,1078,35.0,XANTGR,5,470.899993896484,90.0999984741211,36.92348061489413
169849,1540,50.0,NEOSKI,5,498.5,89.8000030517578,40.490230054281454
156565,3836,10.0,IXONIC,5,458.299987792969,88.8000030517578,24.395850929940462
169671,1664,25.0,MALLPE,5,483.100006103516,90.0999984741211,33.558758248682004
142415,8384,30.0,APORM1,5,418.700012207031,90.1999969482422,35.38197381662155
149257,1095,10.0,GREWBL,5,421.5,90.1999969482422,24.395850929940462
156563,11782,20.0,XERONO,5,455.299987792969,88.9000015258789,31.32732273553991
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
156494,2517,20.0,APORAU,5,454.799987792969,89.6999969482422,31.32732273553991
149276,1526,15.0,MONOMA,5,424.5,90.9000015258789,28.450502011022103
142371,2011,308.0,DIPTC1,5,414.700012207031,93.4000015258789,58.67099782973574
149364,1893,50.0,MILLAT,5,429.200012207031,83.0999984741211,40.490230054281454
149418,6438,82.0,DACRR1,5,432.0,94.5999984741211,45.43719247264253
169722,326,253.0,QUERGE,5,486.200012207031,87.6999969482422,56.703894887275204
169797,3127,20.0,PHAEOP,5,491.5,97.0,31.32732273553991
149237,2365,15.0,ARCHBU,5,423.299987792969,83.0,28.450502011022103
169773,1518,30.0,XYLOM2,5,492.600006103516,89.8000030517578,35.38197381662155
163186,2367,45.0,KNEMFU,5,463.5,90.5,39.43662489770319
163348,2501,20.0,UROPGL,5,474.100006103516,90.0999984741211,31.32732273553991
149278,3075,15.0,SHORAC,5,423.200012207031,90.5,28.450502011022103
142229,1080,10.0,MEMEME,5,402.200012207031,97.5999984741211,24.395850929940462
156389,622,15.0,VATIPA,5,443.899993896484,90.0999984741211,28.450502011022103
142363,977,15.0,GNETGN,5,410.700012207031,93.0999984741211,28.450502011022103
156467,4374,75.0,BARRMA,5,452.200012207031,82.1999969482422,44.5448811353631
169659,9925,20.0,ANAXJA,5,481.700012207031,89.8000030517578,31.32732273553991
149397,8384,15.0,APORM1,5,433.799987792969,89.8000030517578,28.450502011022103
163268,1858,10.0,CANALR,5,468.299987792969,86.8000030517578,24.395850929940462
169720,341,10.0,STERPA,5,485.5,87.6999969482422,24.395850929940462
149458,11782,10.0,XERONO,5,436.5,90.9000015258789,24.395850929940462
149331,669,10.0,MEMEDI,5,427.399993896484,90.0999984741211,24.395850929940462
142416,9703,15.0,RINOAN,5,417.399993896484,90.0999984741211,28.450502011022103
169802,804,127.0,MESURA,5,490.200012207031,98.3000030517578,49.811870864585906
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
149362,2074,25.0,LEPISE,5,429.600006103516,84.4000015258789,33.558758248682004
163382,3941,40.0,SCA1SP,5,478.399993896484,91.1999969482422,38.25879454113936
142346,5149,10.0,KNEMLA,5,411.700012207031,88.3000030517578,24.395850929940462
162969,9229,35.0,ARDICR,5,462.600006103516,72.5,36.92348061489413
163159,3941,15.0,SCA1SP,5,463.700012207031,89.4000015258789,28.450502011022103
149461,9229,35.0,ARDICR,5,437.5,92.1999969482422,36.92348061489413
142375,1664,10.0,MALLPE,5,412.600006103516,90.1999969482422,24.395850929940462
142415,8384,30.0,APORM1,5,418.700012207031,90.1999969482422,35.38197381662155
149485,1077,25.0,GARCMA,5,436.299987792969,89.0999984741211,33.558758248682004
149426,2065,10.0,LITHCU,5,434.0,90.0999984741211,24.395850929940462
163265,1871,50.0,PAYELU,5,469.600006103516,85.4000015258789,40.490230054281454
156499,1256,10.0,PEN1MO,5,452.399993896484,90.0999984741211,24.395850929940462
169656,6438,20.0,DACRR1,5,480.0,88.3000030517578,31.32732273553991
163160,8384,20.0,APORM1,5,463.700012207031,88.9000015258789,31.32732273553991
141952,1143,15.0,PAROVA,5,403.100006103516,70.8000030517578,28.450502011022103
149315,977,15.0,GNETGN,5,426.200012207031,90.5,28.450502011022103
156446,1871,20.0,PAYELU,5,446.100006103516,83.5999984741211,31.32732273553991
149063,669,25.0,MEMEDI,5,434.0,69.5999984741211,33.558758248682004
149258,9925,20.0,ANAXJA,5,422.200012207031,90.5,31.32732273553991
149250,3830,15.0,DIOSSC,5,423.5,89.4000015258789,28.450502011022103
149277,1017,25.0,SCA2MA,5,424.399993896484,90.5,33.558758248682004
163389,2786,10.0,DIOSNU,5,475.100006103516,88.9000015258789,24.395850929940462
163205,9925,30.0,ANAXJA,5,466.700012207031,97.0,35.38197381662155
163348,2501,20.0,UROPGL,5,474.100006103516,90.0999984741211,31.32732273553991
169659,9925,20.0,ANAXJA,5,481.700012207031,89.8000030517578,31.32732273553991
156571,4579,10.0,GIROPA,5,459.0,86.3000030517578,24.395850929940462
163171,9016,10.0,SHORM2,5,460.700012207031,90.0999984741211,24.395850929940462
148919,11782,15.0,XERONO,5,426.799987792969,78.6999969482422,28.450502011022103
156492,1046,35.0,ALPHMA,5,450.299987792969,89.6999969482422,36.92348061489413
156554,9703,10.0,RINOAN,5,457.899993896484,92.5,24.395850929940462
149409,793,25.0,PRUNAR,5,433.799987792969,86.1999969482422,33.558758248682004
149344,1017,10.0,SCA2MA,5,426.100006103516,89.9000015258789,24.395850929940462
163323,1664,101.0,MALLPE,5,473.899993896484,89.8000030517578,47.52120516841259
142210,1670,10.0,DIOSVE,5,402.600006103516,89.9000015258789,24.395850929940462
149232,928,141.0,GIRONE,5,423.100006103516,84.0999984741211,50.857598903781685
169639,4374,20.0,BARRMA,5,483.899993896484,82.0999984741211,31.32732273553991
169671,1664,25.0,MALLPE,5,483.100006103516,90.0999984741211,33.558758248682004
156380,3830,15.0,DIOSSC,5,441.5,91.0999984741211,28.450502011022103
149378,9925,15.0,ANAXJA,5,431.100006103516,83.9000015258789,28.450502011022103
149291,2065,10.0,LITHCU,5,424.0,98.1999969482422,24.395850929940462
149412,3836,20.0,IXONIC,5,433.299987792969,85.9000015258789,31.32732273553991
156499,1256,10.0,PEN1MO,5,452.399993896484,90.0999984741211,24.395850929940462
