TreeID,Species_Count,DBH,Species,Hectare,gx,gy,Height_m
41281,3830,50.0,DIOSSC,2,113.0,38.2000007629395,40.490230054281454
41409,2309,10.0,XANTEU,2,104.199996948242,45.2000007629395,24.395850929940462
41518,807,15.0,LITHRA,2,106.099998474121,49.7000007629395,28.450502011022103
41640,9229,15.0,ARDICR,2,111.300003051758,52.4000015258789,28.450502011022103
41691,1575,15.0,APORGL,2,118.699996948242,50.9000015258789,28.450502011022103
49151,586,10.0,HOMADI,2,125.699996948242,70.3000030517578,24.395850929940462
55483,1080,25.0,MEMEME,2,159.399993896484,1.10000002384186,33.558758248682004
59102,9229,35.0,ARDICR,2,142.5,92.5,36.92348061489413
63043,3836,10.0,IXONIC,2,166.399993896484,61.0999984741211,24.395850929940462
69543,2136,10.0,ROTHMA,2,186.5,34.2999992370605,24.395850929940462
70096,1149,10.0,IXORC2,2,199.300003051758,50.7000007629395,24.395850929940462
70111,9016,10.0,SHORM2,2,198.199996948242,48.2999992370605,24.395850929940462
49500,3836,15.0,IXONIC,2,129.199996948242,90.0,28.450502011022103
49500,3836,15.0,IXONIC,2,129.199996948242,90.0,28.450502011022103
49483,287,243.0,DIPTCR,2,125.199996948242,90.0,56.30061443340548
63218,2444,15.0,TARES8,2,162.399993896484,90.0,28.450502011022103
63218,2444,15.0,TARES8,2,162.399993896484,90.0,28.450502011022103
49500,3836,15.0,IXONIC,2,129.199996948242,90.0,28.450502011022103
63218,2444,15.0,TARES8,2,162.399993896484,90.0,28.450502011022103
63472,499,105.0,KNEMHO,2,176.600006103516,90.0,47.909603501575226
49500,3836,15.0,IXONIC,2,129.199996948242,90.0,28.450502011022103
63472,499,105.0,KNEMHO,2,176.600006103516,90.0,47.909603501575226
49501,1645,15.0,NEPHCO,2,128.100006103516,90.0999984741211,28.450502011022103
42419,8384,25.0,APORM1,2,119.099998474121,89.9000015258789,33.558758248682004
56435,586,20.0,HOMADI,2,144.300003051758,89.6999969482422,31.32732273553991
49504,1506,20.0,OCHAAM,2,128.100006103516,90.5,31.32732273553991
49506,3487,20.0,ALANEB,2,126.699996948242,90.1999969482422,31.32732273553991
63213,3836,20.0,IXONIC,2,161.5,89.4000015258789,31.32732273553991
63313,3277,74.0,AIDIWA,2,166.600006103516,90.9000015258789,44.4106509320417
49406,8384,50.0,APORM1,2,122.0,90.6999969482422,40.490230054281454
49669,3941,50.0,SCA1SP,2,135.899993896484,89.8000030517578,40.490230054281454
42310,511,30.0,AGLAO2,2,110.400001525879,90.3000030517578,35.38197381662155
63214,3127,10.0,PHAEOP,2,161.800003051758,89.6999969482422,24.395850929940462
63212,2219,10.0,MESUFE,2,161.0,89.6999969482422,24.395850929940462
56676,11782,96.0,XERONO,2,159.199996948242,87.5,47.01348191467836
70481,2869,20.0,MACALO,2,181.800003051758,88.6999969482422,31.32732273553991
70515,2136,10.0,ROTHMA,2,183.199996948242,91.0,24.395850929940462
42407,9925,35.0,ANAXJA,2,117.400001525879,90.0999984741211,36.92348061489413
70646,9016,10.0,SHORM2,2,194.5,92.0,24.395850929940462
63518,9925,10.0,ANAXJA,2,164.899993896484,88.0,24.395850929940462
42296,312,30.0,CINNJA,2,112.900001525879,89.0,35.38197381662155
49662,6438,70.0,DACRR1,2,136.899993896484,90.0999984741211,43.85495242049359
49673,527,10.0,PAVEGR,2,139.600006103516,89.4000015258789,24.395850929940462
63401,867,20.0,PAVES1,2,170.100006103516,89.4000015258789,31.32732273553991
49502,1506,15.0,OCHAAM,2,128.300003051758,90.0999984741211,28.450502011022103
49501,1645,15.0,NEPHCO,2,128.100006103516,90.0999984741211,28.450502011022103
49424,9925,25.0,ANAXJA,2,124.900001525879,92.4000015258789,33.558758248682004
63214,3127,10.0,PHAEOP,2,161.800003051758,89.6999969482422,24.395850929940462
56673,9925,15.0,ANAXJA,2,159.300003051758,87.3000030517578,28.450502011022103
49399,11782,10.0,XERONO,2,124.800003051758,89.9000015258789,24.395850929940462
63312,9016,20.0,SHORM2,2,166.5,90.5,31.32732273553991
56600,9925,40.0,ANAXJA,2,153.199996948242,90.1999969482422,38.25879454113936
49399,11782,10.0,XERONO,2,124.800003051758,89.9000015258789,24.395850929940462
63241,9925,20.0,ANAXJA,2,163.0,92.9000015258789,31.32732273553991
63244,867,25.0,PAVES1,2,164.0,92.0,33.558758248682004
70579,1411,15.0,BUCHSE,2,185.899993896484,83.9000015258789,28.450502011022103
56528,8384,10.0,APORM1,2,148.800003051758,90.1999969482422,24.395850929940462
63310,6438,25.0,DACRR1,2,167.300003051758,90.9000015258789,33.558758248682004
42403,2517,50.0,APORAU,2,118.800003051758,91.5999984741211,40.490230054281454
69086,11782,20.0,XERONO,2,168.0,89.5999984741211,31.32732273553991
70553,9016,45.0,SHORM2,2,188.800003051758,92.1999969482422,39.43662489770319
63200,9925,30.0,ANAXJA,2,164.300003051758,83.1999969482422,35.38197381662155
56574,2365,70.0,ARCHBU,2,153.199996948242,83.0999984741211,43.85495242049359
56598,9925,10.0,ANAXJA,2,153.0,90.6999969482422,24.395850929940462
63508,2869,10.0,MACALO,2,176.0,82.9000015258789,24.395850929940462
63364,9016,25.0,SHORM2,2,169.800003051758,82.5999984741211,33.558758248682004
49405,2517,20.0,APORAU,2,120.699996948242,90.0999984741211,31.32732273553991
49405,2517,20.0,APORAU,2,120.699996948242,90.0999984741211,31.32732273553991
49578,3274,98.0,PIMEGR,2,134.300003051758,92.5999984741211,47.21967478670572
63310,6438,25.0,DACRR1,2,167.300003051758,90.9000015258789,33.558758248682004
49662,6438,70.0,DACRR1,2,136.899993896484,90.0999984741211,43.85495242049359
49523,9925,50.0,ANAXJA,2,129.0,85.8000030517578,40.490230054281454
63305,1776,20.0,DIOSAP,2,168.100006103516,92.8000030517578,31.32732273553991
56647,2367,113.0,KNEMFU,2,157.600006103516,92.0999984741211,48.643878187123406
63246,1080,10.0,MEMEME,2,163.100006103516,90.3000030517578,24.395850929940462
42233,1900,69.0,VATIBE,2,107.300003051758,91.1999969482422,43.711065045972596
49662,6438,70.0,DACRR1,2,136.899993896484,90.0999984741211,43.85495242049359
42232,705,10.0,CASTSC,2,107.5,90.3000030517578,24.395850929940462
49662,6438,70.0,DACRR1,2,136.899993896484,90.0999984741211,43.85495242049359
56600,9925,40.0,ANAXJA,2,153.199996948242,90.1999969482422,38.25879454113936
42407,9925,35.0,ANAXJA,2,117.400001525879,90.0999984741211,36.92348061489413
56662,527,20.0,PAVEGR,2,155.699996948242,89.0999984741211,31.32732273553991
49655,3040,20.0,LEPITE,2,138.199996948242,90.9000015258789,31.32732273553991
49525,9925,10.0,ANAXJA,2,128.199996948242,85.4000015258789,24.395850929940462
42422,3127,10.0,PHAEOP,2,119.099998474121,87.5999984741211,24.395850929940462
42426,6010,10.0,SHORL1,2,118.5,85.0999984741211,24.395850929940462
63346,9016,10.0,SHORM2,2,167.899993896484,88.5999984741211,24.395850929940462
70512,4579,20.0,GIROPA,2,183.699996948242,92.0,31.32732273553991
63214,3127,10.0,PHAEOP,2,161.800003051758,89.6999969482422,24.395850929940462
42407,9925,35.0,ANAXJA,2,117.400001525879,90.0999984741211,36.92348061489413
63517,2286,25.0,ARDIS2,2,164.899993896484,88.1999969482422,33.558758248682004
49561,3836,10.0,IXONIC,2,130.899993896484,89.4000015258789,24.395850929940462
70650,9016,20.0,SHORM2,2,191.699996948242,90.9000015258789,31.32732273553991
42407,9925,35.0,ANAXJA,2,117.400001525879,90.0999984741211,36.92348061489413
42232,705,10.0,CASTSC,2,107.5,90.3000030517578,24.395850929940462
56655,9925,20.0,ANAXJA,2,155.699996948242,87.1999969482422,31.32732273553991
49517,2869,25.0,MACALO,2,129.199996948242,89.5999984741211,33.558758248682004
70617,941,40.0,DURIGR,2,190.5,89.5999984741211,38.25879454113936
42164,1164,10.0,DIPLMA,2,100.599998474121,91.4000015258789,24.395850929940462
70557,3127,15.0,PHAEOP,2,189.100006103516,90.8000030517578,28.450502011022103
49405,2517,20.0,APORAU,2,120.699996948242,90.0999984741211,31.32732273553991
49669,3941,50.0,SCA1SP,2,135.899993896484,89.8000030517578,40.490230054281454
70504,3127,10.0,PHAEOP,2,184.300003051758,92.4000015258789,24.395850929940462
63220,9925,15.0,ANAXJA,2,163.300003051758,89.0,28.450502011022103
63403,1799,50.0,SHOROV,2,171.300003051758,89.9000015258789,40.490230054281454
42231,3836,10.0,IXONIC,2,108.5,90.0999984741211,24.395850929940462
49581,383,15.0,ARTOIS,2,132.699996948242,90.0999984741211,28.450502011022103
49414,9703,25.0,RINOAN,2,121.099998474121,92.5,33.558758248682004
70200,1496,100.0,SHORBR,2,182.399993896484,77.4000015258789,47.42170185988092
63381,9229,20.0,ARDICR,2,172.300003051758,94.1999969482422,31.32732273553991
63216,2074,25.0,LEPISE,2,161.899993896484,87.9000015258789,33.558758248682004
63212,2219,10.0,MESUFE,2,161.0,89.6999969482422,24.395850929940462
63398,11782,20.0,XERONO,2,171.300003051758,88.1999969482422,31.32732273553991
49633,2501,25.0,UROPGL,2,135.5,90.5,33.558758248682004
56664,1046,10.0,ALPHMA,2,155.699996948242,89.6999969482422,24.395850929940462
49519,3836,25.0,IXONIC,2,129.899993896484,89.8000030517578,33.558758248682004
56468,793,15.0,PRUNAR,2,143.0,93.5999984741211,28.450502011022103
56528,8384,10.0,APORM1,2,148.800003051758,90.1999969482422,24.395850929940462
49513,6438,20.0,DACRR1,2,126.0,89.1999969482422,31.32732273553991
49407,9229,15.0,ARDICR,2,122.300003051758,90.9000015258789,28.450502011022103
70555,9703,15.0,RINOAN,2,188.899993896484,90.9000015258789,28.450502011022103
56650,2074,15.0,LEPISE,2,159.899993896484,90.0999984741211,28.450502011022103
70700,9016,15.0,SHORM2,2,195.100006103516,85.0999984741211,28.450502011022103
42392,2065,10.0,LITHCU,2,115.300003051758,92.0999984741211,24.395850929940462
63461,9925,15.0,ANAXJA,2,177.5,93.6999969482422,28.450502011022103
56600,9925,40.0,ANAXJA,2,153.199996948242,90.1999969482422,38.25879454113936
63329,1091,10.0,GONOGR,2,165.199996948242,89.6999969482422,24.395850929940462
56433,9229,20.0,ARDICR,2,143.899993896484,88.5,31.32732273553991
42188,1033,10.0,SHORGU,2,101.900001525879,97.5999984741211,24.395850929940462
70684,9016,144.0,SHORM2,2,198.899993896484,97.5999984741211,51.06813299576
70474,3836,25.0,IXONIC,2,180.199996948242,86.1999969482422,33.558758248682004
42322,6438,15.0,DACRR1,2,113.099998474121,93.8000030517578,28.450502011022103
